Élève n°,A/B,Groupe,Arithmétique,Droite réelle,Droite et plan,Automatismes 1-5,Problèmes de géométrie 1,Problèmes de géométrie 2,Fonctions,Statistiques,ex3stats
18,B,2,4,1,3,2,4,2.5,4,2,
19,B,2,2,0,1,1.5,4,2.5,4,2.5,
20,B,2,4,1,2,4,4,3,4,0,
21,A,2,4,2,2,4,4,4,4,2,
22,B,2,4,3,4,3,4,3.5,3,1,
23,A,2,2,1,2,2.5,4,3.5,2,1,
24,A,2,,2,3,2.5,4,2,3,1.5,
25,B,2,,0,0,0,2,,4,1,
26,A,2,,0,1,2,3.5,1,2.5,,
27,A,2,4,3,3,3,3.5,4,3,3,
28,B,2,2,2,4,3.5,3,3,4,3.5,
29,B,2,3,1,2,3,4,3,,4,
30,B,2,4,0,1,3,4,2,3,2,
31,B,2,4,2,3,3,4,4,4,2,
32,A,2,,3,3,2,4,3,2.5,2.5,
33,A,2,,2,2,4,4,3.5,2,1,
34,A,2,4,1,3,0.5,3,1.5,3,2,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Automatisme 1,Automatisme 2,Automatisme 3,Automatisme 4,Automatisme 5,Automatisme 6,Automatisme 7,,
,,Mean,3.60714285714286,1.70588235294118,2.41176470588235,2.67647058823529,3.74193548387097,2.828125,3.3125,,
,,Standard Error,0.139341665603805,0.186579167317355,0.169499878056017,0.156388543485452,0.086356873140909,0.14654862502244,0.128479790051249,,
,,Mode,4,2,3,3,4,3.5,4,,
,,Median,4,2,2.5,3,4,3,3,,
,,First Quartile,3.75,1,2,2,3.5,2.5,3,,
,,Third Quartile,4,3,3,3,4,3.5,4,,
,,Variance,0.543650793650794,1.18360071301248,0.976827094474153,0.831550802139038,0.231182795698925,0.687247983870968,0.528225806451613,,
,,Standard Deviation,0.737326788914382,1.08793414920779,0.988345635126778,0.911894073968593,0.480814720759384,0.829004212215455,0.726791446325294,,
,,Kurtosis,0.955009118964578,-1.19364269651478,-0.20678739092773,1.55389691700538,4.69857545151553,-0.633087079682767,-1.04079779934053,,
,,Skewness,-1.59231908398969,-0.266823267556858,-0.339956502670592,-1.00692330579836,-2.11499474861463,-0.542178523991063,-0.499949167623147,,
,,Range,2,3,4,4,2,3,2,,
,,Minimum,2,0,0,0,2,1,2,,
,,Maximum,4,3,4,4,4,4,4,,
,,Sum,101,58,82,91,116,90.5,106,,
,,Count,28,34,34,34,31,32,32,,
